address,name,sports
 Impasse Jean-Paul Sartre  44119 Treillieres ,Aire d'athlétisme,tennis basketball football boxe tennis de table rugby
 12 rue de la Rinçais  44119 Treillieres ,Stade de la Rinçais,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Skate-park,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Marathon,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Olympie,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Kodokan,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Athéna,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Héraclès,tennis basketball football boxe tennis de table rugby
 12 rue de la Rinçais  44119 Treillieres ,Boulodrome de la Rinçais,tennis basketball football boxe tennis de table rugby
 Avenue du Général de Gaulle  44119 Treillieres ,Terrain de grands jeux,tennis basketball football boxe tennis de table rugby
 Avenue du Général de Gaulle  44119 Treillieres ,Terrain multisports,tennis basketball football boxe tennis de table rugby
 Rue Simone de Beauvoir  44119 Treillieres ,Halle de raquettes,tennis basketball football boxe tennis de table rugby
