address,general_type,gps_latitude,gps_longitude,name
44119 Treillières France,"gym, health",[47.3271309],[-1.6216304],Salle De Gym Et Danse
23 Bis Rue de la Noé des Puits 44119 Treillières France,"gym, health",[47.3357861],[-1.6265362],Energym
44119 Treillières France,"gym, health",[47.3274887],[-1.6214681],Club House Stade Treillierain
Rue Simone de Beauvoir 44119 Treillières France,"gym, health",[47.3272199],[-1.6214859],Complexe sportif du Gesvres
10 rue Stévin - Centre Stévin - Bât. C ; La Bugallière 44700 Orvault France,"gym, health",[47.259673],[-1.634569],OMF - fitness room of Stevin center
2 Rue des Martinets 44700 Orvault France,"gym, health",[47.2613537],[-1.5840274],Univ'Sports
2 Impasse Betelgeuse 44470 Carquefou France,"gym, health",[47.2810037],[-1.4584324],Salle de Sport Carquefou : Forme Inside Carquefou
230 Route de Vannes 44700 Orvault France,"gym, health",[47.2442084],[-1.5985989],Neoness salle de sport Nantes-Route De Vannes
44390 Casson France,"gym, health",[47.3903165],[-1.5569382],Salle De Sport
Rue Simone de Beauvoir 44119 Treillières France,"gym, health",[47.3266693],[-1.6213014],Treillières Boxing Club
18 Rue de l'Hôtellerie 44470 Carquefou France,"gym, health",[47.2680416],[-1.4845604],ELANCIA CARQUEFOU
70 Boulevard du Massacre 44800 Saint-Herblain France,"gym, health",[47.233456],[-1.590649],Makadam Fitness St Herblain
1 Allée des Favrières 44240 La Chapelle-sur-Erdre France,"gym, health",[47.3058492],[-1.5581673],Gymnase de la Coutancière
2 Rue de Flandre 44240 La Chapelle-sur-Erdre France,"gym, health",[47.2859643],[-1.547549],L'Orange Bleue La Chapelle sur Erdre
307 Route de Vannes 44811 Saint-Herblain France,"gym, health",[47.2456567],[-1.6032422],Basic-Fit Salle de Sport Saint-Herblain Route de Vannes
1 Rue Arago 44240 La Chapelle-sur-Erdre France,"gym, health",[47.2623696],[-1.5522558],Athletic pro
1 Avenue de l'Ille 44700 Orvault France,"gym, health",[47.2410427],[-1.5918398],Keepcool Nantes Route de Vannes
3 Rue de la Jalousie 44980 Sainte-Luce-sur-Loire France,"gym, health",[47.264423],[-1.4862361],Tropic Gym
5 Route de la Garenne 44700 Orvault France,"gym, health",[47.2598],[-1.6449027],CrossFit Gravity
4 Avenue André Citroën 44800 Saint-Herblain France,"gym, health",[47.257331],[-1.6475608],Wefit.Club Sautron - St Herblain
