address,name,sports
 Impasse Jean-Paul Sartre  44119 Treillieres ,Aire d'athlétisme,
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Olympie, badminton   handball   tennis 
 Avenue du Général de Gaulle  44119 Treillieres ,Terrain de grands jeux, rugby 
 Avenue du Général de Gaulle  44119 Treillieres ,Terrain multisports, football   handball 
 12 rue de la Rinçais  44119 Treillieres ,Stade de la Rinçais, football 
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Marathon, badminton   gymnastique   handball 
 Rue Simone de Beauvoir  44119 Treillieres ,Skate-park,
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Héraclès, badminton   tennis 
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Kodokan, boxe  (judo   kung fu…
 Rue Simone de Beauvoir  44119 Treillieres ,Halle de raquettes, badminton   tennis   tennis de table 
 Rue Simone de Beauvoir  44119 Treillieres ,Salle Athéna, boxe   danse   gymnastique   tennis   tennis de table 
 12 rue de la Rinçais  44119 Treillieres ,Boulodrome de la Rinçais,
